date,keyword,landing_page,impressions,clicks,ctr,position,organic_sessions,organic_revenue
2026-03-01,suv steering rack,/category/filters,1034,21,0.0212,13.2,21,487.32
2026-04-01,suv steering rack,/category/filters,1108,63,0.0577,12.4,58,1649.51
2026-05-01,suv steering rack,/category/filters,2939,268,0.0914,11.0,246,766.85
2026-06-01,suv steering rack,/category/filters,1331,61,0.0462,13.7,59,335.55
2026-07-01,suv steering rack,/category/filters,447,33,0.0747,12.7,29,2040.39
2025-08-01,4x4 cv joint,/category/cooling-system,868,18,0.0217,24.1,18,259.65
2025-09-01,4x4 cv joint,/category/cooling-system,875,33,0.038,22.0,29,3001.82
2025-10-01,4x4 cv joint,/category/cooling-system,400,5,0.0136,24.1,4,1121.22
2025-11-01,4x4 cv joint,/category/cooling-system,1605,17,0.0109,23.0,16,173.26
2025-12-01,4x4 cv joint,/category/cooling-system,1283,19,0.0153,22.7,19,1836.96
2026-01-01,4x4 cv joint,/category/cooling-system,1119,43,0.039,22.9,39,1135.65
2026-02-01,4x4 cv joint,/category/cooling-system,1194,24,0.0202,22.7,24,548.89
2026-03-01,4x4 cv joint,/category/cooling-system,1744,85,0.0493,23.4,79,851.65
2026-04-01,4x4 cv joint,/category/cooling-system,1178,49,0.0424,23.3,48,549.51
2026-05-01,4x4 cv joint,/category/cooling-system,450,26,0.058,21.6,25,473.35
2026-06-01,4x4 cv joint,/category/cooling-system,552,25,0.047,23.6,25,277.09
2026-07-01,4x4 cv joint,/category/cooling-system,2188,120,0.0551,23.2,124,698.89
2025-08-01,off road roof rack,/category/filters,278,4,0.0151,16.6,3,448.22
2025-09-01,off road roof rack,/category/filters,1226,30,0.025,15.4,30,1783.94
2025-10-01,off road roof rack,/category/filters,975,53,0.0547,16.1,51,1786.11
2025-11-01,off road roof rack,/category/filters,675,28,0.0416,13.9,25,1080.76
2025-12-01,off road roof rack,/category/filters,1124,55,0.049,16.4,56,2333.92
2026-01-01,off road roof rack,/category/filters,633,28,0.0457,14.9,26,2855.29
2026-02-01,off road roof rack,/category/filters,332,23,0.0708,15.8,20,1344.59
2026-03-01,off road roof rack,/category/filters,2659,158,0.0597,14.9,159,1496.34
2026-04-01,off road roof rack,/category/filters,539,42,0.0784,15.2,43,515.72
2026-05-01,off road roof rack,/category/filters,2050,26,0.0128,14.6,25,3493.6
2026-06-01,off road roof rack,/category/filters,2243,79,0.0353,16.9,72,38.0
2026-07-01,off road roof rack,/category/filters,521,13,0.0264,16.0,11,664.79
2025-08-01,truck fuel pump,/category/cooling-system,1691,45,0.0271,22.5,45,1984.31
2025-09-01,truck fuel pump,/category/cooling-system,784,14,0.0182,23.8,14,129.47
2025-10-01,truck fuel pump,/category/cooling-system,2370,92,0.039,21.3,86,313.79
2025-11-01,truck fuel pump,/category/cooling-system,1924,103,0.054,20.1,106,1380.13
2025-12-01,truck fuel pump,/category/cooling-system,301,12,0.0408,20.5,11,1273.28
2026-01-01,truck fuel pump,/category/cooling-system,649,27,0.0426,21.8,26,2082.87
2026-02-01,truck fuel pump,/category/cooling-system,2389,135,0.0569,19.1,137,2597.19
2026-03-01,truck fuel pump,/category/cooling-system,1236,57,0.0465,17.7,57,213.46
2026-04-01,truck fuel pump,/category/cooling-system,1617,54,0.0338,18.9,50,28.77
2026-05-01,truck fuel pump,/category/cooling-system,1705,88,0.0522,18.9,84,1814.64
2026-06-01,truck fuel pump,/category/cooling-system,879,56,0.0643,16.6,56,556.27
2026-07-01,truck fuel pump,/category/cooling-system,1073,54,0.0505,19.8,55,1525.29
